,,,,,,
,Shashi,Tharoor,,,,
,Shashi,Tharoor,,,,
67,Joy,Thomas,,,,
68,Vladimir,Vapnik,,,,
,Vladimir,Vapnik,,,,
69,Jules,Verne,,,,
70,Cedric,Villani,,,,
71,Kurt,Vonnegut,,,,
72,H. G.,Wells,,,,
,H. G.,Wells,,,,
73,Morris,West,,,,
74,Bob,Woodward,,,,
,Bob,Woodward,,,,
75,Hussain,Zaidi,,,,
